name,latitude,longitude,extra.slots
Point Grey & Bayswater,49.271044,-123.170661,16
7th & Woodland,49.264251,-123.073853,12
Aquatic Centre,49.27821,-123.136972,40
Vanier Park,49.275717,-123.142564,28
Trafalgar & Broadway,49.264326,-123.164725,16
Napier & Commercial,49.274881,-123.069323,14
7th & Laurel,49.265071,-123.123864,14
Science World,49.273691,-123.102232,16
Pender & Victoria,49.280197,-123.065859,16
Cypress & 16th,49.25741,-123.148531,12
Spyglass & Seawall,49.270877,-123.115103,14
Keefer & Hawks,49.279235,-123.087528,16
29th & Cambie,49.245135,-123.116098,20
Victoria & 10th,49.261188,-123.066009,12
Commercial & Adanac,49.277436,-123.070427,16
Columbia & 14th,49.258902,-123.109596,14
Dunsmuir & Richards,49.282214,-123.114101,22
Campbell & Hastings,49.280852,-123.084746,14
Franklin & Nanaimo,49.282087,-123.056909,20
Charles & Commercial,49.273103,-123.069892,22
1st & Scotia,49.268503,-123.097501,20
Nelson & Denman,49.289071,-123.138407,18
Beatty & Nelson,49.275679,-123.116963,14
Trimble & 8th,49.2658,-123.20596,20
David Lam Park,49.270905,-123.126006,18
Burrard & 4th,49.267859,-123.145782,16
Cypress & Cornwall,49.272827,-123.147744,22
Keefer & Princess,49.279369,-123.091241,14
qəlɬaləməcən leləm | Orca House,49.26875,-123.25004,22
Bidwell & Burnaby,49.28526,-123.141809,68
11th & Kingsway,49.261122,-123.097571,16
Pender & Burrard,49.287097,-123.118551,26
Columbia & 1st,49.269969,-123.109623,24
Melville & Bute,49.287782,-123.12395,14
Anderson & 2nd,49.269361,-123.13782,28
5th & Main,49.266456,-123.100324,20
Alexander & Dunlevy,49.284062,-123.095097,14
13th & St George,49.258817,-123.092797,16
Commercial & Pandora,49.283236,-123.070443,16
Quebec & 3rd,49.26853,-123.10266,20
Grandview & Commercial,49.263746,-123.069892,16
Expo & Smithe,49.276115,-123.114496,14
Cypress & 14th,49.25919,-123.148268,12
Brock Commons,49.269172,-123.25279,20
Beach & Broughton,49.281301,-123.139108,22
Arbutus Greenway & 14th,49.258924,-123.152591,20
Alexander & Main,49.284157,-123.099917,20
Hornby & Drake,49.277178,-123.13,24
Highbury & 8th,49.265442,-123.187738,20
Pharmaceutical Sciences,49.26262,-123.2431,24
Haro & Denman,49.290587,-123.13625,20
Windsor & 14th,49.257985,-123.083366,14
Prince Edward & 16th,49.256694,-123.096579,14
Cardero & Davie,49.285512,-123.1384,18
Stamps Landing,49.26893,-123.11813,14
Marinaside & Davie,49.273471,-123.118016,22
Adanac & McLean,49.277665,-123.073653,22
Bute & Davie,49.282055,-123.133045,20
Victoria & 4th,49.266725,-123.065925,16
Heather & 29th,49.245535,-123.120496,22
McNicoll & Arbutus,49.276292,-123.150592,30
IK Barber Learning Centre,49.267561,-123.252261,20
Granville Island,49.27029,-123.135025,32
6th & Prince Edward,49.265242,-123.095577,16
Broughton & Davie,49.283749,-123.136133,22
Adanac & Lakewood,49.27751,-123.061429,20
Cypress & 10th,49.262944,-123.148109,14
Thunderbird Parkade,49.261655,-123.241924,18
Burrard Station (Melville & Dunsmuir),49.285871,-123.12105,28
22nd & Cambie,49.251358,-123.115637,14
Glen & Broadway,49.262242,-123.081459,18
Nicola & Robson,49.288506,-123.131238,18
Stanley Park - Totem Poles,49.298657,-123.121176,20
Davie & Beach,49.287528,-123.142139,30
Pender & Gore,49.280284,-123.097052,14
Richards & Davie,49.275683,-123.124388,14
Pender & Commercial,49.280332,-123.070068,16
18th & Cambie,49.254818,-123.114785,24
2nd & Commercial,49.268616,-123.069908,22
Wesbrook Village - Berton & Shrum,49.25478,-123.23621,28
Chilco & Robson,49.293257,-123.138563,20
Keefer & Columbia,49.279342,-123.101822,14
Rogers Tower,49.288682,-123.11818,18
Woodland & Graveley,49.270684,-123.073562,12
Cardero & Bayshore,49.291597,-123.129158,20
8th & Fraser,49.263382,-123.088837,16
Spanish Banks East,49.27594,-123.21482,20
Balaclava & 6th,49.266924,-123.173849,16
Cambie & Water,49.284605,-123.108662,32
Helmcken & Burrard,49.279938,-123.127478,16
Hornby & Pender,49.28602,-123.116624,22
7th & Heather,49.265089,-123.119425,18
Union & Dunlevy,49.277595,-123.09583,16
Richards & Helmcken,49.277141,-123.122589,18
Keefer & Abbott,49.279821,-123.10802,28
8th & Prince Edward,49.263518,-123.09568,18
