station_index,distance_from_station,total_slots,total_venues,Banks & Shops,Landmarks & Museums,Other,Restaurants & Bars
155,122.3076923076923,18,13,0,1,11,1
156,267.5,16,2,0,0,0,2
157,212.10526315789474,12,38,2,1,11,24
158,141.13953488372093,18,43,8,0,7,28
159,234.88095238095238,16,42,7,6,9,20
160,179.9375,18,16,2,1,3,10
161,126.74,22,50,11,0,10,29
162,144.8125,16,16,0,1,14,1
163,139.28571428571428,28,7,0,1,3,3
164,184.2,26,5,0,1,4,0
165,248.0,16,7,1,2,1,3
166,239.55555555555554,12,9,4,0,2,3
167,187.2,40,10,0,1,8,1
168,154.33333333333334,28,12,0,4,8,0
169,139.6818181818182,16,22,3,1,8,10
170,154.0,14,48,14,1,4,29
171,195.25,14,24,5,1,6,12
172,195.13333333333333,16,15,2,4,2,7
173,216.06666666666666,16,15,2,0,5,8
174,133.0,12,1,0,0,1,0
175,214.625,14,8,0,0,6,2
176,216.7,16,10,2,1,2,5
177,208.66666666666666,20,3,0,1,2,0
178,226.85714285714286,12,7,1,0,2,4
179,169.125,16,24,6,1,3,14
180,214.0,14,1,0,0,1,0
181,225.23809523809524,22,21,5,0,4,12
182,133.0,14,14,1,0,5,8
183,153.74285714285713,20,35,6,1,6,22
184,132.38,22,50,13,1,5,31
185,202.9090909090909,20,22,6,2,8,6
186,150.44,18,50,11,0,4,35
187,222.95744680851064,14,47,10,1,7,29
188,244.89473684210526,20,19,2,0,7,10
189,219.0,18,4,0,1,3,0
190,158.1860465116279,16,43,12,0,7,24
191,152.84375,22,32,6,1,5,20
192,179.9090909090909,14,11,2,2,5,2
193,175.07142857142858,22,28,2,0,13,13
194,196.7906976744186,68,43,8,2,10,23
195,213.43478260869566,16,46,10,1,11,24
196,168.4,26,50,2,1,6,41
197,194.18421052631578,24,38,2,2,20,14
198,211.88235294117646,14,17,3,1,1,12
199,204.27272727272728,28,22,5,2,4,11
200,196.13888888888889,20,36,4,2,11,19
201,158.78571428571428,14,14,1,0,4,9
202,219.85714285714286,16,14,4,1,1,8
203,201.77777777777777,16,9,0,0,4,5
204,177.575,20,40,4,1,13,22
205,161.1860465116279,16,43,9,1,12,21
206,166.34375,14,32,3,2,8,19
207,221.0,12,1,0,0,1,0
208,238.1,20,20,2,1,12,5
209,167.78571428571428,22,14,0,1,9,4
210,154.6,20,10,2,0,7,1
211,206.875,20,24,2,2,8,12
212,167.02,24,50,4,0,11,35
213,232.75,20,28,9,1,3,15
214,222.0,24,15,2,1,10,2
215,109.2,20,50,14,0,2,34
216,143.5,14,2,1,0,1,0
217,244.0,14,3,0,1,2,0
218,165.75,18,12,3,0,3,6
219,49.0,14,4,1,0,0,3
220,200.86363636363637,22,22,1,0,8,13
221,198.27272727272728,22,11,0,1,2,8
222,108.28,20,50,5,0,3,42
223,251.1578947368421,16,19,5,1,3,10
224,177.0,22,3,0,0,3,0
225,213.5,30,10,0,5,4,1
226,202.03030303030303,20,33,2,0,14,17
227,162.04,32,50,22,2,10,16
228,242.77777777777777,16,9,2,1,1,5
229,244.07692307692307,22,13,4,0,1,8
230,158.8,20,5,1,1,3,0
231,210.5909090909091,14,22,6,0,6,10
232,184.25,18,8,0,1,5,2
233,214.9655172413793,28,29,7,0,6,16
234,205.625,14,16,3,0,7,6
235,172.6,18,5,0,2,1,2
236,189.18367346938774,18,49,6,2,6,35
237,116.25,20,8,1,0,5,2
238,117.14,30,50,8,3,11,28
239,208.56,14,50,6,2,14,28
240,176.28205128205127,14,39,5,2,4,28
241,200.85714285714286,16,7,1,0,3,3
242,95.69767441860465,24,43,12,0,11,20
243,143.56,22,50,11,0,10,29
244,86.23809523809524,28,21,6,0,6,9
245,244.58333333333334,20,12,0,3,2,7
246,174.18,14,50,8,5,9,28
247,183.1,18,50,2,2,9,37
248,269.8666666666667,12,15,4,1,3,7
249,170.66666666666666,20,21,1,2,10,8
250,157.0,16,11,2,0,2,7
251,30.666666666666668,20,3,0,1,0,2
252,268.0,16,9,0,0,3,6
253,143.84,32,50,16,1,4,29
254,193.72,16,50,2,0,10,38
255,154.28,22,50,8,0,3,39
256,221.67741935483872,18,31,5,0,8,18
257,196.6,16,35,9,2,10,14
258,191.68,18,50,10,3,8,29
259,121.5,28,50,9,1,8,32
260,180.3,18,30,9,1,8,12
